Problem,Package,File,Priority,Line,Description,Rule set,Rule
8,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,462,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
7,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,452,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Sync.java,2,448,Null should not be returned from a Boolean method,Sonar,BooleanMethodReturnCheck
6,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,440,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
5,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,436,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
4,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,410,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
3,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,399,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,2,393,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
2,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,388,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,2,384,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
1,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/RExecTask.java,1,382,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
2,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/Main.java,2,335,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.tools.ant.taskdefs.optional,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java,2,334,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.tools.bzip2,apache-ant-1.8.4/src/main/org/apache/tools/bzip2/CBZip2OutputStream.java,2,323,Short-circuit logic should be used in boolean contexts,Sonar,NonShortCircuitLogicCheck
1,org.apache.tools.ant,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/DirectoryScannerTest.java,1,312,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.types,apache-ant-1.8.4/src/main/org/apache/tools/ant/types/Permissions.java,2,307,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Parallel.java,2,302,Object.wait(...) and Condition.await(...) should be called inside a while loop,Sonar,WaitInWhileLoopCheck
