File_Path,Issue_Name,Line,Severity,Rule,Type
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/complexContent/Insurant.java,【_policyNumber】命名不能以_或$开始,28,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/complexContent/Insurant.java,【_has_policyNumber】命名不能以_或$开始,33,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSBase64Binary.java,【_jType】命名不能以_或$开始,41,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSClass.java,【_name】命名不能以_或$开始,39,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSClass.java,【_jClass】命名不能以_或$开始,42,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/core/src/main/java/org/castor/core/annotationprocessing/BaseTargetAwareAnnotationProcessingService.java,类名【BaseTargetAwareAnnotationProcessingService】应以Impl结尾,35,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
castor-1.3.1/core/src/main/java/org/castor/core/annotationprocessing/BaseTargetAwareAnnotationProcessingService.java,【_taAnnotationProcessorMap】命名不能以_或$开始,42,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSNonPositiveInteger.java,【_asWrapper】命名不能以_或$开始,44,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSNonPositiveInteger.java,【_jType】命名不能以_或$开始,47,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/core/src/main/java/org/castor/core/util/Base64Encoder.java,【_buffer】命名不能以_或$开始,74,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/core/src/main/java/org/castor/core/util/Base64Encoder.java,【_octets】命名不能以_或$开始,77,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/core/src/main/java/org/castor/core/util/Base64Encoder.java,【_stream】命名不能以_或$开始,80,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,抽象类【JStructure】命名应以Abstract或Base开头,63,严重,[p3c]Abstract class names must start with Abstract or Base.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_header】命名不能以_或$开始,81,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_packageName】命名不能以_或$开始,84,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_imports】命名不能以_或$开始,87,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_jdc】命名不能以_或$开始,90,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_annotatedElement】命名不能以_或$开始,93,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_modifiers】命名不能以_或$开始,99,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/javasource/JStructure.java,【_interfaces】命名不能以_或$开始,102,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
